15 15
0 0 empty
1 0 empty
2 0 empty
3 0 wall
4 0 empty
5 0 wall
6 0 empty
7 0 empty
8 0 empty
9 0 empty
10 0 empty
11 0 empty
12 0 empty
13 0 fire
14 0 wall
0 1 empty
1 1 wall
2 1 empty
3 1 empty
4 1 empty
5 1 wall
6 1 empty
7 1 empty
8 1 empty
9 1 wall
10 1 wall
11 1 wall
12 1 wall
13 1 empty
14 1 wall
0 2 empty
1 2 empty
2 2 empty
3 2 empty
4 2 wall
5 2 empty
6 2 empty
7 2 empty
8 2 empty
9 2 empty
10 2 empty
11 2 empty
12 2 empty
13 2 empty
14 2 empty
0 3 empty
1 3 empty
2 3 wall
3 3 empty
4 3 empty
5 3 empty
6 3 empty
7 3 empty
8 3 empty
9 3 empty
10 3 fire
11 3 wall
12 3 empty
13 3 empty
14 3 empty
0 4 empty
1 4 empty
2 4 wall
3 4 empty
4 4 empty
5 4 wall
6 4 empty
7 4 empty
8 4 empty
9 4 empty
10 4 wall
11 4 empty
12 4 empty
13 4 wall
14 4 empty
0 5 empty
1 5 empty
2 5 empty
3 5 empty
4 5 wall
5 5 empty
6 5 empty
7 5 empty
8 5 empty
9 5 empty
10 5 wall
11 5 empty
12 5 empty
13 5 empty
14 5 wall
0 6 empty
1 6 empty
2 6 empty
3 6 empty
4 6 empty
5 6 empty
6 6 empty
7 6 wall
8 6 empty
9 6 empty
10 6 empty
11 6 empty
12 6 empty
13 6 empty
14 6 empty
0 7 empty
1 7 empty
2 7 empty
3 7 empty
4 7 empty
5 7 wall
6 7 empty
7 7 empty
8 7 wall
9 7 empty
10 7 wall
11 7 wall
12 7 empty
13 7 wall
14 7 empty
0 8 empty
1 8 wall
2 8 empty
3 8 empty
4 8 empty
5 8 empty
6 8 empty
7 8 empty
8 8 empty
9 8 empty
10 8 empty
11 8 empty
12 8 goal
13 8 empty
14 8 empty
0 9 empty
1 9 empty
2 9 empty
3 9 empty
4 9 wall
5 9 empty
6 9 wall
7 9 empty
8 9 empty
9 9 wall
10 9 empty
11 9 wall
12 9 empty
13 9 empty
14 9 wall
0 10 wall
1 10 wall
2 10 empty
3 10 empty
4 10 empty
5 10 empty
6 10 empty
7 10 wall
8 10 empty
9 10 wall
10 10 empty
11 10 empty
12 10 empty
13 10 empty
14 10 empty
0 11 empty
1 11 empty
2 11 empty
3 11 empty
4 11 empty
5 11 empty
6 11 empty
7 11 empty
8 11 empty
9 11 wall
10 11 empty
11 11 empty
12 11 empty
13 11 empty
14 11 empty
0 12 wall
1 12 empty
2 12 empty
3 12 wall
4 12 empty
5 12 empty
6 12 goal
7 12 empty
8 12 empty
9 12 empty
10 12 wall
11 12 empty
12 12 empty
13 12 empty
14 12 empty
0 13 wall
1 13 empty
2 13 empty
3 13 empty
4 13 empty
5 13 empty
6 13 empty
7 13 empty
8 13 empty
9 13 wall
10 13 wall
11 13 empty
12 13 empty
13 13 empty
14 13 empty
0 14 empty
1 14 empty
2 14 empty
3 14 wall
4 14 wall
5 14 empty
6 14 wall
7 14 wall
8 14 empty
9 14 wall
10 14 empty
11 14 empty
12 14 empty
13 14 empty
14 14 empty
